Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.105496	DL	10	5	7	1	12	4	0	2	35	0	1	1	-9.89915	0	0	0.192688
0.105496	DL	10	5	7	1	12	7	0	1	229	8	1	0	3.65102	5	0	0
0.105558	DL	10	5	8	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105558	DL	10	5	8	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.105558	DL	10	5	8	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105621	DL	10	5	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105621	DL	10	5	9	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.105621	DL	10	5	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105683	DL	10	5	10	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105683	DL	10	5	10	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.105683	DL	10	5	10	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
