time(s)	cellId	rnti	lcid	packetSize
0.0290005	4	1	4	80
0.0291002	1	2	4	55
0.0291002	4	2	4	55
0.0291003	7	1	4	55
0.0291004	1	1	4	80
0.0291005	4	1	4	80
0.0292002	1	2	4	55
0.0292002	4	2	4	55
0.0292003	7	1	4	55
0.0292004	1	1	4	80
0.0292005	4	1	4	80
0.0293002	1	2	4	55
0.0293002	4	2	4	55
0.0293003	7	1	4	55
0.0293004	1	1	4	80
0.0293005	4	1	4	80
0.0294002	1	2	4	55
0.0294002	4	2	4	55
0.0294003	7	1	4	55
0.0294004	1	1	4	80
0.0294005	4	1	4	80
0.0295002	1	2	4	55
0.0295002	4	2	4	55
0.0295003	7	1	4	55
0.0295004	1	1	4	80
0.0295005	4	1	4	80
0.0296002	1	2	4	55
0.0296002	4	2	4	55
0.0296003	7	1	4	55
0.0296004	1	1	4	80
0.0296005	4	1	4	80
0.0297002	1	2	4	55
0.0297002	4	2	4	55
0.0297003	7	1	4	55
0.0297004	1	1	4	80
0.0297005	4	1	4	80
0.0298002	1	2	4	55
0.0298002	4	2	4	55
0.0298003	7	1	4	55
0.0298004	1	1	4	80
0.0298005	4	1	4	80
0.0299002	1	2	4	55
0.0299002	4	2	4	55
0.0299003	7	1	4	55
0.0299004	1	1	4	80
0.0299005	4	1	4	80
0.0300002	1	2	4	55
0.0300002	4	2	4	55
0.0300003	7	1	4	55
0.0300004	1	1	4	80
0.0300005	4	1	4	80
0.0301002	1	2	4	55
0.0301002	4	2	4	55
0.0301003	7	1	4	55
0.0301004	1	1	4	80
0.0301005	4	1	4	80
0.0302002	1	2	4	55
0.0302002	4	2	4	55
0.0302003	7	1	4	55
0.0302004	1	1	4	80
0.0302005	4	1	4	80
0.0303002	1	2	4	55
0.0303002	4	2	4	55
0.0303003	7	1	4	55
0.0303004	1	1	4	80
0.0303005	4	1	4	80
0.0304002	1	2	4	55
0.0304002	4	2	4	55
0.0304003	7	1	4	55
0.0304004	1	1	4	80
0.0304005	4	1	4	80
0.0305002	1	2	4	55
0.0305002	4	2	4	55
0.0305003	7	1	4	55
0.0305004	1	1	4	80
0.0305005	4	1	4	80
0.0306002	1	2	4	55
0.0306002	4	2	4	55
0.0306003	7	1	4	55
0.0306004	1	1	4	80
0.0306005	4	1	4	80
0.0307002	1	2	4	55
0.0307002	4	2	4	55
0.0307003	7	1	4	55
0.0307004	1	1	4	80
0.0307005	4	1	4	80
0.0308002	1	2	4	55
0.0308002	4	2	4	55
0.0308003	7	1	4	55
0.0308004	1	1	4	80
0.0308005	4	1	4	80
0.0309002	1	2	4	55
0.0309002	4	2	4	55
0.0309003	7	1	4	55
0.0309004	1	1	4	80
0.0309005	4	1	4	80
0.0310002	1	2	4	55
0.0310002	4	2	4	55
0.0310003	7	1	4	55
0.0310004	1	1	4	80
0.0310005	4	1	4	80
0.0311002	1	2	4	55
0.0311002	4	2	4	55
0.0311003	7	1	4	55
0.0311004	1	1	4	80
0.0311005	4	1	4	80
0.0312002	1	2	4	55
0.0312002	4	2	4	55
0.0312003	7	1	4	55
0.0312004	1	1	4	80
0.0312005	4	1	4	80
0.0313002	1	2	4	55
0.0313002	4	2	4	55
0.0313003	7	1	4	55
0.0313004	1	1	4	80
0.0313005	4	1	4	80
0.0314002	1	2	4	55
0.0314002	4	2	4	55
0.0314003	7	1	4	55
0.0314004	1	1	4	80
0.0314005	4	1	4	80
0.0315002	1	2	4	55
0.0315002	4	2	4	55
0.0315003	7	1	4	55
0.0315004	1	1	4	80
0.0315005	4	1	4	80
0.0316002	1	2	4	55
0.0316002	4	2	4	55
0.0316003	7	1	4	55
0.0316004	1	1	4	80
0.0316005	4	1	4	80
0.0317002	1	2	4	55
0.0317002	4	2	4	55
0.0317003	7	1	4	55
0.0317004	1	1	4	80
0.0317005	4	1	4	80
0.0318002	1	2	4	55
0.0318002	4	2	4	55
0.0318003	7	1	4	55
0.0318004	1	1	4	80
0.0318005	4	1	4	80
0.0319002	1	2	4	55
0.0319002	4	2	4	55
0.0319003	7	1	4	55
0.0319004	1	1	4	80
0.0319005	4	1	4	80
0.0320002	1	2	4	55
0.0320002	4	2	4	55
0.0320003	7	1	4	55
0.0320004	1	1	4	80
0.0320005	4	1	4	80
0.0321002	1	2	4	55
0.0321002	4	2	4	55
0.0321003	7	1	4	55
0.0321004	1	1	4	80
0.0321005	4	1	4	80
0.0322002	1	2	4	55
0.0322002	4	2	4	55
0.0322003	7	1	4	55
0.0322004	1	1	4	80
0.0322005	4	1	4	80
0.0323002	1	2	4	55
0.0323002	4	2	4	55
0.0323003	7	1	4	55
0.0323004	1	1	4	80
0.0323005	4	1	4	80
0.0324002	1	2	4	55
0.0324002	4	2	4	55
0.0324003	7	1	4	55
0.0324004	1	1	4	80
0.0324005	4	1	4	80
0.0325002	1	2	4	55
0.0325002	4	2	4	55
0.0325003	7	1	4	55
0.0325004	1	1	4	80
0.0325005	4	1	4	80
0.0326002	1	2	4	55
0.0326002	4	2	4	55
0.0326003	7	1	4	55
0.0326004	1	1	4	80
0.0326005	4	1	4	80
0.0327002	1	2	4	55
0.0327002	4	2	4	55
0.0327003	7	1	4	55
0.0327004	1	1	4	80
0.0327005	4	1	4	80
0.0328002	1	2	4	55
0.0328002	4	2	4	55
0.0328003	7	1	4	55
0.0328004	1	1	4	80
0.0328005	4	1	4	80
0.0329002	1	2	4	55
0.0329002	4	2	4	55
0.0329003	7	1	4	55
0.0329004	1	1	4	80
0.0329005	4	1	4	80
0.0330002	1	2	4	55
0.0330002	4	2	4	55
0.0330003	7	1	4	55
0.0330004	1	1	4	80
0.0330005	4	1	4	80
0.0331002	1	2	4	55
0.0331002	4	2	4	55
0.0331003	7	1	4	55
0.0331004	1	1	4	80
0.0331005	4	1	4	80
0.0332002	1	2	4	55
0.0332002	4	2	4	55
0.0332003	7	1	4	55
0.0332004	1	1	4	80
0.0332005	4	1	4	80
0.0333002	1	2	4	55
0.0333002	4	2	4	55
0.0333003	7	1	4	55
0.0333004	1	1	4	80
0.0333005	4	1	4	80
0.0334002	1	2	4	55
0.0334002	4	2	4	55
0.0334003	7	1	4	55
0.0334004	1	1	4	80
0.0334005	4	1	4	80
0.0335002	1	2	4	55
0.0335002	4	2	4	55
0.0335003	7	1	4	55
0.0335004	1	1	4	80
0.0335005	4	1	4	80
0.0336002	1	2	4	55
0.0336002	4	2	4	55
0.0336003	7	1	4	55
0.0336004	1	1	4	80
0.0336005	4	1	4	80
0.0337002	1	2	4	55
0.0337002	4	2	4	55
0.0337003	7	1	4	55
0.0337004	1	1	4	80
0.0337005	4	1	4	80
0.0338002	1	2	4	55
0.0338002	4	2	4	55
0.0338003	7	1	4	55
0.0338004	1	1	4	80
0.0338005	4	1	4	80
0.0339002	1	2	4	55
0.0339002	4	2	4	55
0.0339003	7	1	4	55
0.0339004	1	1	4	80
0.0339005	4	1	4	80
0.0340002	1	2	4	55
0.0340002	4	2	4	55
0.0340003	7	1	4	55
0.0340004	1	1	4	80
0.0340005	4	1	4	80
0.0341002	1	2	4	55
0.0341002	4	2	4	55
0.0341003	7	1	4	55
0.0341004	1	1	4	80
0.0341005	4	1	4	80
0.0342002	1	2	4	55
0.0342002	4	2	4	55
0.0342003	7	1	4	55
0.0342004	1	1	4	80
0.0342005	4	1	4	80
0.0343002	1	2	4	55
0.0343002	4	2	4	55
0.0343003	7	1	4	55
0.0343004	1	1	4	80
0.0343005	4	1	4	80
0.0344002	1	2	4	55
0.0344002	4	2	4	55
0.0344003	7	1	4	55
0.0344004	1	1	4	80
0.0344005	4	1	4	80
0.0345002	1	2	4	55
0.0345002	4	2	4	55
0.0345003	7	1	4	55
0.0345004	1	1	4	80
0.0345005	4	1	4	80
0.0346002	1	2	4	55
0.0346002	4	2	4	55
0.0346003	7	1	4	55
0.0346004	1	1	4	80
0.0346005	4	1	4	80
0.0347002	1	2	4	55
0.0347002	4	2	4	55
0.0347003	7	1	4	55
0.0347004	1	1	4	80
0.0347005	4	1	4	80
0.0348002	1	2	4	55
0.0348002	4	2	4	55
0.0348003	7	1	4	55
0.0348004	1	1	4	80
0.0348005	4	1	4	80
0.0349002	1	2	4	55
0.0349002	4	2	4	55
0.0349003	7	1	4	55
0.0349004	1	1	4	80
0.0349005	4	1	4	80
0.0350002	1	2	4	55
0.0350002	4	2	4	55
0.0350003	7	1	4	55
0.0350004	1	1	4	80
0.0350005	4	1	4	80
0.0351002	1	2	4	55
0.0351002	4	2	4	55
0.0351003	7	1	4	55
0.0351004	1	1	4	80
0.0351005	4	1	4	80
0.0352002	1	2	4	55
0.0352002	4	2	4	55
0.0352003	7	1	4	55
0.0352004	1	1	4	80
0.0352005	4	1	4	80
0.0353002	1	2	4	55
0.0353002	4	2	4	55
0.0353003	7	1	4	55
0.0353004	1	1	4	80
0.0353005	4	1	4	80
0.0354002	1	2	4	55
0.0354002	4	2	4	55
0.0354003	7	1	4	55
0.0354004	1	1	4	80
0.0354005	4	1	4	80
0.0355002	1	2	4	55
0.0355002	4	2	4	55
0.0355003	7	1	4	55
0.0355004	1	1	4	80
0.0355005	4	1	4	80
0.0356002	1	2	4	55
0.0356002	4	2	4	55
0.0356003	7	1	4	55
0.0356004	1	1	4	80
0.0356005	4	1	4	80
0.0357002	1	2	4	55
0.0357002	4	2	4	55
0.0357003	7	1	4	55
0.0357004	1	1	4	80
0.0357005	4	1	4	80
0.0358002	1	2	4	55
0.0358002	4	2	4	55
0.0358003	7	1	4	55
0.0358004	1	1	4	80
0.0358005	4	1	4	80
0.0359002	1	2	4	55
0.0359002	4	2	4	55
0.0359003	7	1	4	55
0.0359004	1	1	4	80
0.0359005	4	1	4	80
0.0360002	1	2	4	55
0.0360002	4	2	4	55
0.0360003	7	1	4	55
0.0360004	1	1	4	80
0.0360005	4	1	4	80
