time(s)	cellId	rnti	lcid	packetSize
0.1195	1	2	4	55
0.1195	4	2	4	55
0.1195	7	1	4	55
0.1195	1	1	4	80
0.119501	4	1	4	80
0.1196	1	2	4	55
0.1196	4	2	4	55
0.1196	7	1	4	55
0.1196	1	1	4	80
0.119601	4	1	4	80
0.1197	1	2	4	55
0.1197	4	2	4	55
0.1197	7	1	4	55
0.1197	1	1	4	80
0.119701	4	1	4	80
0.1198	1	2	4	55
0.1198	4	2	4	55
0.1198	7	1	4	55
0.1198	1	1	4	80
0.119801	4	1	4	80
0.1199	1	2	4	55
0.1199	4	2	4	55
0.1199	7	1	4	55
0.1199	1	1	4	80
0.119901	4	1	4	80
0.12	1	2	4	55
0.12	4	2	4	55
0.12	7	1	4	55
0.12	1	1	4	80
0.120001	4	1	4	80
0.1201	1	2	4	55
0.1201	4	2	4	55
0.1201	7	1	4	55
0.1201	1	1	4	80
0.120101	4	1	4	80
0.1202	1	2	4	55
0.1202	4	2	4	55
0.1202	7	1	4	55
0.1202	1	1	4	80
0.120201	4	1	4	80
0.1203	1	2	4	55
0.1203	4	2	4	55
0.1203	7	1	4	55
0.1203	1	1	4	80
0.120301	4	1	4	80
0.1204	1	2	4	55
0.1204	4	2	4	55
0.1204	7	1	4	55
0.1204	1	1	4	80
0.120401	4	1	4	80
0.1205	1	2	4	55
0.1205	4	2	4	55
0.1205	7	1	4	55
0.1205	1	1	4	80
0.120501	4	1	4	80
0.1206	1	2	4	55
0.1206	4	2	4	55
0.1206	7	1	4	55
0.1206	1	1	4	80
0.120601	4	1	4	80
0.1207	1	2	4	55
0.1207	4	2	4	55
0.1207	7	1	4	55
0.1207	1	1	4	80
0.120701	4	1	4	80
0.1208	1	2	4	55
0.1208	4	2	4	55
0.1208	7	1	4	55
0.1208	1	1	4	80
0.120801	4	1	4	80
0.1209	1	2	4	55
0.1209	4	2	4	55
0.1209	7	1	4	55
0.1209	1	1	4	80
0.120901	4	1	4	80
0.121	1	2	4	55
0.121	4	2	4	55
0.121	7	1	4	55
0.121	1	1	4	80
0.121001	4	1	4	80
0.1211	1	2	4	55
0.1211	4	2	4	55
0.1211	7	1	4	55
0.1211	1	1	4	80
0.121101	4	1	4	80
0.1212	1	2	4	55
0.1212	4	2	4	55
0.1212	7	1	4	55
0.1212	1	1	4	80
0.121201	4	1	4	80
0.1213	1	2	4	55
0.1213	4	2	4	55
0.1213	7	1	4	55
0.1213	1	1	4	80
0.121301	4	1	4	80
0.1214	1	2	4	55
0.1214	4	2	4	55
0.1214	7	1	4	55
